date,km,litres,price_per_litre,total_cost,notes
2018-10-17,000000,1439.8,0.599,974.56,
2018-12-28,000000,981.6,0.599,664.42,
2019-01-17,000000,373.5,0.599,252.81,
2019-02-04,000000,411.5,0.599,278.53,
2019-02-25,000000,379.3,0.599,256.74,
2019-03-18,000000,326.2,0.599,220.79,
2019-04-05,000000,223.7,0.599,159.25,
2019-05-10,000000,191.4,0.589,134.09,
2019-10-09,000000,327.2,0.579,225.54,
2019-11-11,000000,255.1,0.579,175.84,
2019-12-02,000000,304.8,0.579,210.10,
2020-01-06,000000,518.8,0.579,357.61,
2020-01-27,000000,300.4,0.579,207.06,
2020-02-25,000000,401.0,0.579,276.41,
2020-03-20,000000,204.8,0.579,141.17,
2020-04-14,000000,240.4,0.579,169.88,
2020-06-04,000000,152.1,0.579,107.50,
2020-10-23,000000,300.0,0.579,212.01,
2020-12-01,000000,375.0,0.579,265.02,
2020-12-22,000000,297.0,0.579,209.89,
2021-01-21,000000,400.9,0.579,283.31,
2021-02-24,000000,509.2,0.579,359.86,
2021-03-23,000000,352.7,0.579,249.26,
2021-05-21,000000,250.1,0.579,181.13,
2021-10-18,000000,250.4,0.679,209.64,
2021-12-07,000000,551.4,0.679,461.64,
2022-01-25,000000,852.3,0.679,713.56,
2022-02-26,000000,601.6,0.679,503.67,
2022-03-25,000000,245.1,0.679,205.20,
2022-04-22,000000,244.8,0.679,209.24,
2022-09-15,000000,240.8,0.889,262.96,
2022-11-02,000000,260.6,0.899,287.53,
2022-12-05,000000,278.9,0.899,307.72,
2022-12-22,000000,248.7,0.899,274.40,
2023-01-19,000000,364.6,0.899,402.28,
2023-02-08,000000,311.9,0.899,344.13,
2023-03-07,000000,372.8,0.899,411.32,
2023-03-29,000000,198.4,0.899,218.90,
2023-04-24,000000,158.1,0.899,178.57,
